Blanks,camera,Lens Type,Shot Type,Photography Style,Technical Photography Style,Light Type,Lighting Style,Lighting Color(s),Film Lighting Techniques,Photography Lighting Techniques,Film Camera,Film Stock,Film Lenses,Film Styles,Cinematographer,Colourist,Film Directors,Human,Plants,Animals,Fungi,Natural Location,City Location,Fantasy Location,Weird Location,Mundane Location,Positive Adjectives,Negative Adjectives,Art Movement,Medium,Design Styles,Film Styles,Illustration Styles,Print Styles,Painting Styles,Drawing Styles,Costume Adjective,Costume Description,Type of Mask,Type of Costume,Positive Subject Coverage,Negative Subject Coverage,Natural Materials,Fabric Materials,Building Materials,Biological Materials,Weird Materials,Natural Textures,Fabric Textures,Biological Textures,Weird Textures
,Nikon F6,Standard Prime Lens,Eye Level,Adventure Photography,Pathological Photography,LED,Ambient Lighting,Warm White Glow,Three-Point Lighting,Natural Light Photography,Arriflex 35 BL,Kodak Portra 400,Wide Angle,Noir,Roger Deakins,Stefan Sonnenfeld,Martin Scorsese,Elderly Maori woman,Venus Flytrap,Leafy Sea Dragon,Bioluminescent Fungi,Mountains,"Havana, Cuba",Elven Forest,"The Door to Hell, Turkmenistan",Grey Office Cubicle,Beautiful,epulsive,Dada,Collotype Print,Bauhaus,Film Noir,Manga,Woodblock,Impressionism,Gestural Drawing,Tattered,"Worn-out or ragged, typically from age or heavy use.",Venetian Carnival Masks,Alien Abduction Costume,Drenched in lush foliage,Swarmed with creepy crawlies,Wood,Silk,Concrete,Bone,Glowing Mushrooms,Rough,Smooth,Slimy,Holographic
,Canon AE-1,Wide Angle Prime Lens,High Angle,Urban Exploration Photography,Microscopic Photography,Neon,Retro Vintage Lighting,Vibrant Pink,High Key Lighting,Portrait Lighting,Panavision Panaflex,Fujifilm Provia 100F,Telephoto,Romantic,Emmanuel Lubezki,Company 3,Quentin Tarantino,Young Native American man,Pitcher Plant,Red Panda,Fly Agaric,Coral Reefs,"Chefchaouen, Morocco",Dragons Lair,"The Island of the Dolls, Mexico",Abandoned Industrial Estate,Stunning,Ghastly,Ukiyo-e,Woodblock Print,Art Deco,Neorealism,Art Nouveau,Monotype,Cubism,Contour Drawing,Bejeweled,Adorned with many pieces of jewelry or ornamental features.,Japanese Noh Masks,Giant Octopus Costume,Adorned with sparkling diamonds,Infested with slimy creatures,Stone,Cotton,Brick,Skin,Liquid Crystals,Smooth,Rough,Furry,Electromagnetic
,Leica M3,Telephoto Prime Lens,Low Angle,Wildlife Action Photography,Infrared Photography,Xenon,Futuristic Lighting,Electric Blue,Low Key Lighting,Rembrandt Lighting,Mitchell BNC,Ilford HP5 Plus,Anamorphic,Action,Vittorio Storaro,Technicolor,Christopher Nolan,Middle-aged Aboriginal Australian woman,Rafflesia Arnoldii,Axolotl,Cordyceps,Northern Lights,"Kyoto, Japan",Underwater City,"Salina Turda Salt Mine, Romania",Public Toilet in a Train Station,Lovely,Hideous,Harlem Renaissance,Monotype Print,Swiss Design,French New Wave,Childrens Book,Aquatint,Abstract Expressionism,Scribbling,Draped,Covered with loosely hanging pieces of fabric.,African Tribal Masks,Tree Ent Costume,Embellished with vibrant graffiti,Engulfed in toxic sludge,Water,Wool,Steel,Hair,Aerogel,Hard,Soft,Scaley,Non-Newtonian
,Hasselblad 500C/M,Ultra Wide Angle Lens,Dutch Angle,Macro Wonderland Photography,X-ray Photography,Fluorescent,Office Lighting,Cool White,Chiaroscuro Lighting,Butterfly Lighting,ARRI 435,Kodak Tri-X 400,Prime,Comedy,Conrad Hall,Jill Bogdanowicz,Steven Spielberg,Elderly Italian gentleman,Spiral Aloe,Thorny Devil Lizard,Mycelium Network,Grasslands,"Santorini, Greece",Floating Islands,"Salar de Uyuni, Bolivia",Dilapidated Council Flat Balcony,Enchanting,Grim,COBRA,Acrylic Painting,Minimalism,Bollywood,Comic Art,Serigraphy/Silkscreen,Surrealism,Hatching,Colorful,Full of bright or varying colors.,Greek Drama Masks,Cybernetic Organism Costume,Draped in delicate lace,Overrun by decaying matter,Sand,Denim,Glass,Blood,Edible Plastic,Soft,Textured,Veiny,Plasma
,Nikon D850,Short Telephoto or Portrait Lens,Birds Eye View,Extreme Sports Photography,Forensic Photography,Incandescent,Cozy Home Lighting,Soft Warm Yellow,Rembrandt Lighting,Split Lighting,Aaton 35,Fujifilm Velvia 50,Macro,Drama,Gordon Willis,Stephen Nakamura,Alfred Hitchcock,Young Ainu girl,Dragon Blood Tree,Peacock Mantis Shrimp,Giant Puffball,Rainforests,"Barcelona, Spain",Dwarven Mountain Hall,"Giants Causeway, Northern Ireland",Small Town Job Centre,Gorgeous,Menacing,Art Nouveau,Lithography Print,Deconstructivism,Mumblecore,Fantasy,Relief Printing,Romanticism,Stippling,Fitted,Shaped to fit closely to the body.,Mexican Day of the Dead Masks,Living Chandelier Costume,Bedecked with shimmering sequins,Suffocated by dark shadows,Clay,Velvet,Wood,Feathers,Bioluminescent Paint,Jagged,Plush,Smooth,Superhydrophobic
,Canon EOS 5D Mark IV,Macro Lens,Worms Eye View,Fashion Editorial Photography,Astrophotography,Halogen,Accent Lighting,Bright White Beam,Silhouette Lighting,Broad Lighting,Bolex H16,Kodak Ektar 100,Zoom,Sci-Fi,Janusz Kamiński,Skip Kimball,Stanley Kubrick,Teenage Afro-Brazilian boy,Jade Vine,Dumbo Octopus,Turkey Tail Fungus,Peaks,"Jaisalmer, India",Wizards Tower,"Mono Lake, California",Awaiting Area of a Walk-in Clinic,Radiant,Gruesome,Bengal School of Art,Watercolor Painting,Brutalism,Cinéma Vérité,Medical,Etching,Fauvism,Cross-hatching,Plush,"Richly luxurious and expensive, often refers to materials like velvet or fur.",Gas Masks,Victorian Ghost Outfit,Enveloped in intricate patterns,Ravaged by relentless storms,Granite,Linen,Iron,Leather,Thermochromic Material,Granular,Ribbed,Rough,Aerogel
,Sony A7R IV,Fisheye Lens,Overhead Shot,Futuristic Architecture Photography,High-Speed Photography,RGB LED,Color-Changing Lighting,Multi-Color Spectrum,Backlighting,Short Lighting,Arriflex 16 SR,Ilford Delta 3200,Fisheye,Thriller,Christopher Doyle,Tom Poole,David Fincher,Middle-aged Indian woman,Welwitschia,Tardigrade,Amanita Muscaria,Waterfalls,"Luang Prabang, Laos",Fairys Meadow,"Racetrack Playa, Death Valley",Empty Night Bus,Captivating,Sinister,Futurism,Metalcut Print,Memphis Style,Documentary,Technical,Lithography,Pointillism,Blending,Fringed,"Edged with a fringe, a decorative border or trimming of hanging threads, cords, or strips.",Native American Totem Masks,Abstract Art Inspired Costume,Blanketed in fresh snow,Blighted with ominous darkness,Marble,Polyester,Cement,Fur,Self-Healing Concrete,Gritty,Fluffy,Wrinkled,Magnetic
,Fujifilm X-T3,Tilt-Shift Lens,Point of View Shot (POV),Electric Concert Photography,Time-Lapse Photography,Candlelight,Romantic Lighting,Warm Flickering Flame,Front Lighting,Rim Lighting,Panavision Millennium XL,Fujifilm Superia X-TRA 400,Super 16mm,Fantasy,Haskell Wexler,Beau Leon,Wes Anderson,Young Korean man,Corpse Flower,Glasswing Butterfly,Blue Milk Mushroom,Cliffs,"Dubrovnik, Croatia",Labyrinthine Caves,"The Catacombs, Paris",Run-down Multi-storey Car Park,Exquisite,Disturbing,Qajar Art,Oil Painting,Victorian,Indie,Editorial,Linocut,Baroque,Sgraffito,Vibrant,Bright and striking.,Mardi Gras Masks,Candy Floss Mascot,Bedazzled with vibrant flowers,Drowned in putrid sewage,Silver,Lace,Plaster,Ivory,Transparent Aluminum,Crystalline,Silky,Prickly,Electric
,Olympus OM-1,Zoom Lens,Over the Shoulder Shot,Travel Adventure Photography,Gigapixel Photography,Firelight,Dramatic Lighting,Fiery Orange and Red,Side Lighting,Backlighting,Moviecam Compact,Kodak T-MAX 400,Tilt-Shift,Historical,Robert Richardson,Peter Doyle,Sofia Coppola,Elderly Tibetan monk,Monkey Orchid,Red-lipped Batfish,Birds Nest Fungi,Forests,"Istanbul, Turkey",Haunted Graveyard,"Spotted Lake, Canada",Overcrowded Commuter Train,Delightful,Macabre,Neo-Expressionism,Marker Drawing,Mid-Century Modern,Experimental,Graphic Novel,Intaglio,Rococo,Negative Space Drawing,Flowing,"Having a smooth, graceful movement, often describes long dresses or capes.",Balinese Masks,Gargoyle Outfit,Bathed in golden sand,Devoured by gnarled tendrils,Gold,Satin,Aluminum,Teeth,Graphene,Flaky,Velvety,Gelatinous,Bioluminescent
