index,adjectives,photography style,plant,animal,fungi,camera,lighting,covered in,mundane
1,Beautiful,Studio Photographic Portrait,Venus Flytrap,Leafy Sea Dragon,Bioluminescent Fungi,Leica M3,"Harsh, directional neon light for dramatic contrasts","covered in a cloak of rich, leafy foliage and shimmering sequins",Grey Office Cubicle
2,Captivating,Wildlife Photography,Pitcher Plant,Red Panda,Fly Agaric,Hasselblad X1D II 50C,Rembrandt lighting using flourecent neon lights with triangular highlight,"covered with vibrant 3D graffiti, dusted with gemstone-derived radiant glitter",Abandoned Industrial Estate
3,Exquisite,High-fashion photography,Rafflesia Arnoldii,Axolotl,Cordyceps,Canon EOS R5,"Rim lighting with high intensity LED lights, creating a halo effect","covered with iridescent sequins, reflecting the glow of bioluminescent paint",Public Toilet in a Train Station
4,Mesmerizing,Urban Wildlife Photography,Spiral Aloe,Thorny Devil Lizard,Mycelium Network,Leica M3,High-key neon lighting with minimal shadows,"covered in luminous golden sand, dotted with glinting brilliant-cut diamonds",Dilapidated Council Flat Balcony
5,Majestic,Wildlife Portraits,Dragon Blood Tree,Peacock Mantis Shrimp,Giant Puffball,Hasselblad X1D II 50C,"Dramatic, high-contrast lighting using gradients of LED lighting","covered with vibrant tropical flowers, rooted in lush mosses and velvety lichens",Small Town Job Centre
6,Pagan,Rare and Elusive Species Photography,Jade Vine,Dumbo Octopus,Turkey Tail Fungus,Canon EOS R5,Experimental lighting for unique effects using refracting mirrors,"covered with splatters of electric, neon-hued paint on finely-woven spider silk lace",Awaiting Area of a Walk-in Clinic
7,Animalistic,Studio Photographic Portrait,Welwitschia,Tardigrade,Amanita Muscaria,Leica M3,"Harsh, directional neon light for dramatic contrasts","covered with gleaming, intricate metallic tattoos amidst complex patterns from golden lichen",Empty Night Bus
8,Unsettling,Wildlife Photography,Corpse Flower,Glasswing Butterfly,Blue Milk Mushroom,Hasselblad X1D II 50C,Rembrandt lighting with triangular highlight,"covered with vibrant streams of liquid plastic, pooling over clear droplets of morning dew",Run-down Multi-storey Car Park
9,Eerie,High-fashion photography,Monkey Orchid,Red-lipped Batfish,Birds Nest Fungi,Canon EOS R5,"Rim lighting with high intensity LED lights, creating a halo effect","covered by complex patterns from golden lichen, Covered by the glow of bioluminescent paint",Overcrowded Commuter Train
10,Beautiful,Urban Wildlife Photography,Chinese Bamboo Flower,Mandarinfish,Fairy Inkcap,Leica M3,High-key neon lighting with minimal shadows,"covered by a rich overgrowth of mosses, lichens, and vibrant tropical flowers",Grimy Underpass
11,Captivating,Wildlife Portraits,Ghost Plant,Blue-footed Booby,Devils Fingers Fungus,Hasselblad X1D II 50C,"Dramatic, high-contrast lighting using gradients of LED lighting","covered in vivid neon feathers, nestled amongst lush, leafy foliage",Depressing Motorway Service Station
12,Exquisite,Rare and Elusive Species Photography,Silver Sword,Fennec Fox,Morel Mushrooms,Canon EOS R5,Experimental lighting for unique effects using refracting mirrors,"covered in luminous golden sand, illuminated by ethereal, swirling mists",Overcast Local Playground
13,Mesmerizing,Studio Photographic Portrait,Resurrection Plant,Shoebill Stork,Lichen,Leica M3,"Harsh, directional neon light for dramatic contrasts","covered with radiant glitter, nestled amidst vibrant, tropical flowers",Bland Corporate Meeting Room
14,Majestic,Wildlife Photography,Flame Lily,Pygmy Seahorse,Stinkhorn Mushroom,Hasselblad X1D II 50C,Rembrandt lighting with triangular highlight,"covered by electric, neon-hued paint splatters, cloaked in spider silk lace",Rainy Outdoor Bus Queue
15,Pagan,High-fashion photography,Baobab Tree,Mata Mata Turtle,Chanterelle,Canon EOS R5,"Rim lighting with high intensity LED lights, creating a halo effect","covered with intricate metallic tattoos, enveloped in gently swirling mists",Uninspiring School Staff Room
16,Animalistic,Urban Wildlife Photography,Elephant Foot Yam,Narwhal,Lions Mane Mushroom,Leica M3,High-key neon lighting with minimal shadows,"covered with clear droplets of morning dew, veiled by vibrant tropical flowers",Silent Library Study Area
17,Unsettling,Wildlife Portraits,Kauri Tree,Pangolin,Artists Conk,Hasselblad X1D II 50C,"Dramatic, high-contrast lighting using gradients of LED lighting","covered with intricate metallic tattoos, enveloped in gently swirling mists",Rubbish-filled Alleyway
18,Eerie,Rare and Elusive Species Photography,Lithops,Cassowary,Psychedelic Psilocybin Mushrooms,Canon EOS R5,Experimental lighting for unique effects using refracting mirrors,"covered with clear droplets of morning dew, veiled by vibrant tropical flowers",Bleak Housing Estate Courtyard
